seed,fold,exclude_holdout_subject,val_subjects,test_subject,n_train,n_val,n_test,val_loss,val_acc,val_f1_macro,test_loss,test_acc,test_f1_macro
42,1,S,M2,M4,4495,490,549,0.17403053410199223,0.963265306122449,0.9630306534645221,0.15551177956794096,0.9435336976320583,0.9417808946144319
42,2,S,M3,M1,4541,517,476,0.17591496004891444,0.965183752417795,0.9654136718138415,0.8138983600279864,0.7584033613445378,0.742216692019098
42,3,S,C,A,4573,469,492,2.0306317613068927,0.4904051172707889,0.45673647193959843,2.3462449670807133,0.5284552845528455,0.47406610784182435
42,4,S,M1,C,4589,476,469,0.5216739833855829,0.8571428571428571,0.8619737222121054,2.900959757599495,0.34754797441364604,0.2950214678461708
42,5,S,J,B,4546,497,491,1.283165547449584,0.6599597585513078,0.6064383518832692,2.0829216278254865,0.37067209775967414,0.36211192386643204
42,6,S,J,M2,4547,497,490,1.5359518566361856,0.6237424547283702,0.5762932540390036,0.5353002519023662,0.8306122448979592,0.829666978635285
42,7,S,J,M3,4520,497,517,1.286476289242566,0.635814889336016,0.5945407868356052,0.17716330320644597,0.9613152804642167,0.9619162530905335
42,8,S,M2,M5,4494,490,550,0.14130448236757395,0.963265306122449,0.9633150356939328,0.7295857412164861,0.8018181818181818,0.793812739824405
42,9,S,M1,J,4561,476,497,0.8886015729493454,0.7794117647058824,0.7494331606434679,1.336401890461114,0.6559356136820925,0.6168083097763877
42,10,S,J,M6,4482,497,555,1.5148502739382461,0.5995975855130785,0.5810453985010152,0.803893338385466,0.7261261261261261,0.7039815436815438
