seed,subject,val_acc_mean,val_acc_std,val_f1_mean,val_f1_std
42,A,0.9127808699237271,0.05453849696809827,0.9106873547699366,0.05634598192767711
42,B,0.9510616367759225,0.026468460270060473,0.9511251398277917,0.02628527565288532
42,C,0.8763212079615649,0.019410554211458417,0.8757219225114634,0.02053624498053483
42,J,0.9497777777777777,0.03670194757531041,0.9493358127940171,0.038293715144881786
42,M1,0.943311403508772,0.025225256733174026,0.943474156308387,0.025189203616527583
42,M2,0.9571428571428571,0.02922004298627824,0.9563728662118753,0.0295842602211988
42,M3,0.9671209858103061,0.010964616253839144,0.9660777387163172,0.011976970256105762
42,M4,0.9799666388657216,0.014932997662047703,0.9800833427442124,0.014711887386301404
42,M5,0.9781818181818182,0.0209288444240388,0.978141351402221,0.021133635768842463
42,M6,0.954954954954955,0.0412844657203229,0.9546209032767384,0.04182473328551928
42,S,0.8326841448189762,0.026665421705007204,0.8315506131876662,0.025148566337989883
