seed,subject,fold,n_train,n_val,val_loss,val_acc,val_f1_macro
42,A,1,393,99,0.38361355662345886,0.9090909090909091,0.9037929309439606
42,A,2,393,99,0.7374299764633179,0.8282828282828283,0.8236137173127347
42,A,3,394,98,0.18490538001060486,0.9795918367346939,0.9794486215538847
42,A,4,394,98,0.5038579702377319,0.9183673469387755,0.9198033286541161
42,A,5,394,98,0.4109114110469818,0.9285714285714286,0.9267781753849865
42,B,1,392,99,0.27532750368118286,0.9797979797979798,0.9789473684210526
42,B,2,393,98,0.4103226065635681,0.9387755102040817,0.9399379950302013
42,B,3,393,98,0.4509725868701935,0.9285714285714286,0.9280268853953064
42,B,4,393,98,0.4893551766872406,0.9285714285714286,0.928763575605681
42,B,5,393,98,0.1728605329990387,0.9795918367346939,0.9799498746867169
42,C,1,375,94,0.7548485398292542,0.851063829787234,0.8541643537659152
42,C,2,375,94,0.5765169262886047,0.8829787234042553,0.8851368617622487
42,C,3,375,94,0.5056400895118713,0.8723404255319149,0.8703575449318481
42,C,4,375,94,0.49889251589775085,0.9042553191489362,0.9062877549605238
42,C,5,376,93,0.6074864268302917,0.8709677419354839,0.8626630971367814
42,J,1,397,100,0.2866998612880707,0.97,0.9703577124629756
42,J,2,397,100,0.5284664630889893,0.89,0.8862570195542331
42,J,3,398,99,0.2738201916217804,0.9696969696969697,0.9699248120300752
42,J,4,398,99,0.16124707460403442,0.9797979797979798,0.9799498746867167
42,J,5,398,99,0.30927127599716187,0.9393939393939394,0.9401896452360848
42,M1,1,380,96,0.3305589556694031,0.9270833333333334,0.9278499278499279
42,M1,2,381,95,0.41220754384994507,0.9157894736842105,0.9145014870936933
42,M1,3,381,95,0.1803676187992096,0.9789473684210527,0.9780701754385964
42,M1,4,381,95,0.31619518995285034,0.9368421052631579,0.9382873851294903
42,M1,5,381,95,0.2941456139087677,0.9578947368421052,0.958661806030227
42,M2,1,392,98,0.4090511202812195,0.9387755102040817,0.938567943923981
42,M2,2,392,98,0.17454153299331665,0.9897959183673469,0.9899749373433584
42,M2,3,392,98,0.7393531203269958,0.9183673469387755,0.9170435446906036
42,M2,4,392,98,0.21026717126369476,0.9795918367346939,0.9788888888888888
42,M2,5,392,98,0.30712801218032837,0.9591836734693877,0.9573890162125455
42,M3,1,413,104,0.33804890513420105,0.9519230769230769,0.9490320002905817
42,M3,2,413,104,0.14851094782352448,0.9807692307692307,0.9807780320366133
42,M3,3,414,103,0.33815884590148926,0.970873786407767,0.9699749373433584
42,M3,4,414,103,0.1569930464029312,0.970873786407767,0.9703388907050234
42,M3,5,414,103,0.23196923732757568,0.9611650485436893,0.9602648332060097
42,M4,1,439,110,0.17004355788230896,0.9545454545454546,0.955056277056277
42,M4,2,439,110,0.1366601437330246,0.990909090909091,0.9908902691511386
42,M4,3,439,110,0.08643235266208649,0.990909090909091,0.9908902691511386
42,M4,4,439,110,0.153784841299057,0.9818181818181818,0.9817993600602296
42,M4,5,440,109,0.3517809510231018,0.981651376146789,0.9817805383022774
42,M5,1,440,110,0.04561454430222511,1.0,1.0
42,M5,2,440,110,0.12577314674854279,0.9818181818181818,0.9821428571428571
42,M5,3,440,110,0.1870241016149521,0.9727272727272728,0.9727084509693207
42,M5,4,440,110,0.07786457985639572,0.990909090909091,0.9908902691511386
42,M5,5,440,110,0.425734281539917,0.9454545454545454,0.9449651797477884
42,M6,1,444,111,0.2953260838985443,0.963963963963964,0.9638801054018444
42,M6,2,444,111,0.17810200154781342,0.9819819819819819,0.9821428571428571
42,M6,3,444,111,0.17607282102108002,0.9819819819819819,0.981304347826087
42,M6,4,444,111,0.2372092306613922,0.963963963963964,0.9642900432900433
42,M6,5,444,111,0.4806036651134491,0.8828828828828829,0.8814871627228607
42,S,1,358,90,0.6150919795036316,0.8111111111111111,0.811612749484603
42,S,2,358,90,0.6779266595840454,0.8111111111111111,0.8131837058610514
42,S,3,358,90,0.75162672996521,0.8333333333333334,0.8299020589829132
42,S,4,359,89,0.6443651914596558,0.8764044943820225,0.873821759786672
42,S,5,359,89,0.722017765045166,0.8314606741573034,0.8292327918230911
